open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2020-01-01,7180.46,7245.54,7175.62,7195.65,31.403883,2020-01-01 23:59:59.999,226629.00992921,491,15.815089,114122.56869675
2020-01-02,7191.39,7210.05,6934.29,6961.8,67.004407,2020-01-02 23:59:59.999,476379.33805488,738,38.750481,276050.88315223
2020-01-03,6958.14,7404.24,6877.78,7345.65,102.621386,2020-01-03 23:59:59.999,742763.2367792,1697,61.551404,444647.89383045
2020-01-04,7344.55,7403.98,7282.25,7349.45,32.271372,2020-01-04 23:59:59.999,236709.95916405,481,15.329459,112470.99242687
2020-01-05,7363.88,7489.84,7332.96,7364.19,67.247638,2020-01-05 23:59:59.999,500336.38086466,678,44.701719,332796.23187747
2020-01-06,7359.4,7796.86,7352.92,7777.53,142.311675,2020-01-06 23:59:59.999,1075569.84680959,914,83.765027,633598.16990919
2020-01-07,7785.53,8198.98,7735.68,8174.34,242.896066,2020-01-07 23:59:59.999,1926903.17730094,2947,130.889737,1037483.23284885
2020-01-08,8174.37,8456.12,7890.0,8051.97,186.162188,2020-01-08 23:59:59.999,1533174.26317588,2211,97.16845,799930.00094349
2020-01-09,8036.44,8036.44,7753.44,7824.32,116.171338,2020-01-09 23:59:59.999,915656.23025253,1368,68.844483,542430.23732142
2020-01-10,7813.16,8195.0,7684.66,8195.0,189.003029,2020-01-10 23:59:59.999,1500104.24983744,1792,87.499754,694230.17481498
2020-01-11,8195.0,8290.0,8010.01,8026.42,79.694317,2020-01-11 23:59:59.999,647361.88139869,1294,45.279654,367951.2676834
2020-01-12,8010.01,8192.05,7968.79,8185.42,46.703006,2020-01-12 23:59:59.999,378639.02349126,917,24.244934,196553.67280078
2020-01-13,8186.81,8186.81,8059.34,8102.27,71.026524,2020-01-13 23:59:59.999,577263.40303068,1042,17.373515,140991.19500468
2020-01-14,8110.96,8891.18,8110.96,8847.12,351.521336,2020-01-14 23:59:59.999,3016074.97575909,4225,186.718285,1600748.54727612
2020-01-15,8808.88,8911.21,8579.47,8817.79,146.624295,2020-01-15 23:59:59.999,1285245.93320606,2487,76.713476,671303.64921527
2020-01-16,8836.69,8857.99,8595.65,8730.0,95.196653,2020-01-16 23:59:59.999,827028.35132448,1423,45.062325,391610.68681204
2020-01-17,8729.99,9022.5,8673.1,8915.59,77.322512,2020-01-17 23:59:59.999,686071.05632304,1659,39.846023,353729.00496309
2020-01-18,8905.0,8988.76,8805.36,8917.29,51.104627,2020-01-18 23:59:59.999,455203.4316047,1116,15.3874,137060.09827969
2020-01-19,8913.69,9200.0,8493.57,8718.51,217.436897,2020-01-19 23:59:59.999,1924820.7250377,2534,146.915563,1298805.21171834
2020-01-20,8725.94,8741.97,8530.0,8644.33,44.186513,2020-01-20 23:59:59.999,382346.03737531,757,19.212385,166081.33989131
2020-01-21,8650.15,8778.28,8503.31,8754.88,69.588088,2020-01-21 23:59:59.999,601599.85417849,1088,37.00049,320607.74212238
2020-01-22,8737.02,8819.92,8605.64,8670.36,37.871172,2020-01-22 23:59:59.999,329011.10985286,728,19.593522,170295.2822703
2020-01-23,8671.0,8671.0,8305.5,8414.87,64.560013,2020-01-23 23:59:59.999,546230.22754206,3553,32.149272,271836.57445228
2020-01-24,8411.45,8524.11,8241.5,8451.96,82.696069,2020-01-24 23:59:59.999,696183.39721351,6902,53.287697,448781.31802282
2020-01-25,8440.25,8442.68,8277.21,8344.78,75.48201,2020-01-25 23:59:59.999,629147.65244861,8498,56.143803,467874.12667488
2020-01-26,8340.11,8612.12,8301.86,8612.12,57.451045,2020-01-26 23:59:59.999,486981.33544229,2734,32.458291,274753.79627103
2020-01-27,8613.88,9002.45,8584.04,8914.11,103.998546,2020-01-27 23:59:59.999,913570.78519044,10776,65.745991,577840.07769323
2020-01-28,8921.17,9402.37,8892.43,9380.14,143.799437,2020-01-28 23:59:59.999,1308959.35687214,6883,84.144969,765928.90119623
2020-01-29,9376.62,9445.67,9239.08,9300.85,140.356186,2020-01-29 23:59:59.999,1309733.92105105,14898,92.494321,862854.09048008
2020-01-30,9300.42,9579.29,9205.0,9526.47,131.547022,2020-01-30 23:59:59.999,1233883.52263349,13670,81.406352,764549.8312599
2020-01-31,9513.19,9534.33,9213.32,9352.98,76.298925,2020-01-31 23:59:59.999,714239.34902474,6310,51.24812,479514.30596049
2020-02-01,9363.96,9462.65,9301.63,9388.81,61.245697,2020-02-01 23:59:59.999,574842.54294685,2908,41.185934,386497.48956458
2020-02-02,9384.73,9487.85,9157.15,9332.83,73.733713,2020-02-02 23:59:59.999,691316.72089288,3188,43.371963,407105.67790213
2020-02-03,9324.9,9600.0,9241.58,9299.8,103.261331,2020-02-03 23:59:59.999,967665.6312858,15656,76.083851,713275.05756268
2020-02-04,9299.53,9356.66,9100.0,9195.95,72.818585,2020-02-04 23:59:59.999,671869.88250115,10995,52.792959,487385.2852038
2020-02-05,9192.37,9747.48,9180.27,9610.31,125.859151,2020-02-05 23:59:59.999,1200046.4179713,7861,86.002575,821035.44818175
2020-02-06,9625.0,9859.33,9535.38,9766.99,118.594015,2020-02-06 23:59:59.999,1156226.46687976,7194,64.682057,630586.03247668
2020-02-07,9767.0,9880.32,9730.59,9815.0,114.263799,2020-02-07 23:59:59.999,1119198.68433053,12563,81.204807,795336.01314903
2020-02-08,9821.51,9937.31,9668.84,9903.38,123.202272,2020-02-08 23:59:59.999,1212493.49864747,14188,83.054316,817520.67258724
2020-02-09,9903.35,10174.27,9892.42,10153.53,132.3238,2020-02-09 23:59:59.999,1328939.96089147,14864,91.888563,921536.64398212
2020-02-10,10165.0,10193.58,9767.62,9850.16,64.643096,2020-02-10 23:59:59.999,643370.31450867,3233,33.846873,336882.27201447
2020-02-11,9848.03,10325.27,9718.9,10228.72,131.651073,2020-02-11 23:59:59.999,1316991.5454438,5218,80.566732,806740.14509583
2020-02-12,10230.93,10450.0,10230.64,10348.98,100.010641,2020-02-12 23:59:59.999,1032695.70267723,4238,47.648626,492326.15968719
2020-02-13,10318.09,10490.0,10101.26,10217.13,154.524547,2020-02-13 23:59:59.999,1589599.39220726,5825,87.996845,905689.17681971
2020-02-14,10237.42,10376.6,10116.94,10344.17,54.421371,2020-02-14 23:59:59.999,558844.30043193,2843,32.704552,335706.8802945
2020-02-15,10350.58,10373.47,9800.0,9898.96,77.415116,2020-02-15 23:59:59.999,777212.73265155,4687,40.432518,405122.7678587
